SpecterOfBetrayal_NoOverlap,60559,64393,66464,68820,71537,77878,78610,82657,85781,93624,97289,101160,103651,111525,119182,122797,127331,135970,0,0,0
RavagedSeedPod,37076,37957,38120,36934,38551,40789,42096,40977,42853,45200,45116,46871,50514,49183,48617,53139,54302,55452,0,0,0
UrsocsRendingPaw,53597,56835,57670,59783,64292,66672,69214,74251,76246,81034,84254,87251,91138,97758,98911,105337,111016,118457,0,0,0
NaturesCall,54666,55996,59137,59820,60297,63883,64167,64367,67188,68287,68849,70454,73556,75011,77057,80559,79107,83015,0,0,0
SpikedCounterweight,46261,51147,48253,48774,49719,52044,53086,54807,55733,58320,61482,62618,66376,67124,68851,72067,73999,76430,0,0,0
ShadowSingedFang,0,0,0,70359,73176,75441,79429,82490,82377,86632,90094,91028,95328,96541,104914,107887,113592,119925,0,0,0
NightmareEggShell,67638,72141,72693,77684,77043,81456,86982,85919,93916,95571,95920,104721,105059,112150,114889,119320,124368,129945,0,0,0
Stat_Haste,70971,74005,77464,80377,84534,87507,89836,91178,96389,101652,105677,106323,111136,115647,120574,124389,130667,135354,0,0,0
MarkOfDargrul,44804,44703,50000,50941,51647,51451,54978,56449,56925,57739,63626,62066,65418,67201,68879,70849,73499,76883,0,0,0
InfernalAlchemistStone,0,0,0,0,0,0,0,86808,0,0,0,0,0,0,0,0,0,0,0,0,0
KiljaedensBurningWish,0,0,0,0,0,0,0,0,109341,0,0,0,0,0,137166,0,0,0,0,0,0
WindscarWhetstone,38531,37698,38772,40446,43673,41359,43575,46100,47313,45100,48898,48519,53086,51901,54631,55127,57266,59722,0,0,0
ToeKneesPromise,40940,44768,45030,41629,46496,46969,50617,49238,51682,53374,55314,57526,58910,59534,62115,62985,66684,66523,0,0,0
VialOfCeaselessToxins,75444,76207,85236,87720,89939,93456,98258,103435,107431,112843,119096,122413,132239,136664,145795,151185,156301,164845,0,0,0
EngineOfEradication,71339,73347,79265,81722,84352,85542,89532,95028,98637,98351,105681,105970,113812,118554,123931,126723,132238,138174,0,0,0
GorshalachsLegacy,0,0,0,0,0,0,0,0,156049,162224,168076,175285,184433,192434,197235,208763,215933,227768,0,0,0
TerminusSignalingBeacon,0,0,0,41484,42453,43806,43436,46138,45633,49059,49156,50733,51176,52912,55008,54416,57323,60527,0,0,0
